"category","name","company"
"Immunology","Incivek (telaprevir)","Vertex Pharmaceuticals "
"Immunology","Nulojix (belatacept)","Bristol-Myers Squibb "
"Immunology","Victrelis (boceprevir)","Merck "
"InfectionsandInfectiousDiseases","Afinitor (everolimus)","Novartis "
"InfectionsandInfectiousDiseases","Complera (emtricitabine/rilpivirine/tenofovir disoproxil fumarate)","Gilead "
"InfectionsandInfectiousDiseases","Dificid (fidaxomicin)","Optimer Pharmaceuticals "
"InfectionsandInfectiousDiseases","Edurant (rilpivirine)","Tibotec "
"InfectionsandInfectiousDiseases","Eylea (aflibercept)","Regeneron Pharmaceuticals "
"InfectionsandInfectiousDiseases","Firazyr (icatibant)","Shire Pharmaceuticals "
"InfectionsandInfectiousDiseases","Gralise (gabapentin)","Abbott Laboratories "
"InfectionsandInfectiousDiseases","Incivek (telaprevir)","Vertex Pharmaceuticals "
"InfectionsandInfectiousDiseases","Victrelis (boceprevir)","Merck "
"Musculoskeletal","Actemra (tocilizumab)","Genentech "
"Musculoskeletal","Duexis (ibuprofen and famotidine)","Horizon Pharma "
"Nephrology","Anturol (oxybutynin) Gel","Antares Pharma "
"Nephrology","Nulojix (belatacept)","Bristol-Myers Squibb "
"Nephrology","Soliris (eculizumab)","Alexion "
"Neurology","Abstral (fentanyl sublingual tablets)","ProStrakan "
"Neurology","Exparel (bupivacaine liposome injectable suspension)","Pacira Pharmaceuticals "
"Neurology","Gralise (gabapentin)","Abbott Laboratories "
"Neurology","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
"Neurology","Intermezzo (zolpidem tartrate sublingual tablet)","Transcept Pharmaceuticals "
"Neurology","Lazanda (fentanyl citrate) nasal spray","Archimedes "
"Neurology","Onfi (clobazam)","Lundbeck "
"Neurology","Oxecta (oxycodone HCl)","Pfizer "
"Neurology","Potiga (ezogabine)","Valeant Pharmaceuticals "
"Neurology","Viibryd (vilazodone hydrochloride)","Clinical Data "
"Obstetrics/Gynecology(Women’sHealth)","Makena (hydroxyprogesterone caproate injection)","Hologic "
"Oncology","Abstral (fentanyl sublingual tablets)","ProStrakan "
"Oncology","Adcetris (brentuximab vedotin)","Seattle Genetics "
"Oncology","Afinitor (everolimus)","Novartis "
"Oncology","Erwinaze (asparaginase Erwinia chrysanthemi)","Eusa Pharma "
"Oncology","Lazanda (fentanyl citrate) nasal spray","Archimedes "
"Oncology","Sutent (sunitinib malate)","Pfizer "
"Oncology","Sylatron (peginterferon alfa-2b)","Merck "
"Oncology","Vandetanib (vandetanib)","AstraZeneca "
"Oncology","Xalkori (crizotinib)","Pfizer "
"Oncology","Yervoy (ipilimumab)","Bristol-Myers Squibb "
"Oncology","Zelboraf (vemurafenib)","Roche "
"Oncology","Zytiga (abiraterone acetate)","Centocor Ortho Biotech "
"Ophthalmology","Eylea (aflibercept)","Regeneron Pharmaceuticals "
"Otolaryngology(Ear,Nose,Throat)","Vandetanib (vandetanib)","AstraZeneca "
"Pediatrics/Neonatology","Actemra (tocilizumab)","Genentech "
"Pediatrics/Neonatology","Daliresp (roflumilast)","Forest Pharmaceuticals "
"Pediatrics/Neonatology","Onfi (clobazam)","Lundbeck "
"Pharmacology/Toxicology","Oxecta (oxycodone HCl)","Pfizer "
"Psychiatry/Psychology","Intermezzo (zolpidem tartrate sublingual tablet)","Transcept Pharmaceuticals "
"Psychiatry/Psychology","Viibryd (vilazodone hydrochloride)","Clinical Data "
"Pulmonary/RespiratoryDiseases","Arcapta (indacaterol maleate inhalation powder)","Novartis "
"Pulmonary/RespiratoryDiseases","Daliresp (roflumilast)","Forest Pharmaceuticals "
"Pulmonary/RespiratoryDiseases","Xalkori (crizotinib)","Pfizer "
"Rheumatology","Actemra (tocilizumab)","Genentech "
"Rheumatology","Duexis (ibuprofen and famotidine)","Horizon Pharma "
"Sleep","Intermezzo (zolpidem tartrate sublingual tablet)","Transcept Pharmaceuticals "
"Trauma(Emergency,Injury,Surgery)","Exparel (bupivacaine liposome injectable suspension)","Pacira Pharmaceuticals "
"Urology","Anturol (oxybutynin) Gel","Antares Pharma "
"Urology","Zytiga (abiraterone acetate)","Centocor Ortho Biotech "
"Vaccines","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
