"category","name","company"
"FamilyMedicine","Stivarga (regorafenib)","Bayer HealthCare Pharmaceuticals "
"FamilyMedicine","Stribild (elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate)","Gilead "
"FamilyMedicine","Subsys (fentanyl sublingual spray)","Insys Therapeutics "
"FamilyMedicine","Surfaxin (lucinactant)","Discovery Laboratories "
"FamilyMedicine","Tudorza Pressair (aclidinium bromide inhalation powder)","Forest Laboratories "
"FamilyMedicine","Viokace (pancrelipase) tablets","Aptalis Pharma "
"FamilyMedicine","Voraxaze (glucarpidase)","BTG International "
"FamilyMedicine","Xeljanz (tofacitinib)","Pfizer "
"FamilyMedicine","Xtandi (enzalutamide)","Medivation "
"FamilyMedicine","Zaltrap (ziv-aflibercept)","Sanofi-aventis "
"FamilyMedicine","Zioptan (tafluprost ophthalmic solution)","Merck "
"Gastroenterology","Elelyso (taliglucerase alfa)","Pfizer "
"Gastroenterology","Fulyzaq (crofelemer)","Salix Pharmaceuticals "
"Gastroenterology","Gattex (teduglutide)","NPS Pharmaceuticals "
"Gastroenterology","Linzess (linaclotide)","Forest Labs and Ironwood Pharmaceuticals "
"Gastroenterology","Stivarga (regorafenib)","Bayer HealthCare Pharmaceuticals "
"Gastroenterology","Ultresa (pancrelipase) delayed-release capsules","Aptalis Pharma "
"Gastroenterology","Viokace (pancrelipase) tablets","Aptalis Pharma "
"Gastroenterology","Xtandi (enzalutamide)","Medivation "
"Gastroenterology","Zaltrap (ziv-aflibercept)","Sanofi-aventis "
"GeneticDisease","Elelyso (taliglucerase alfa)","Pfizer "
"GeneticDisease","Fycompa (perampanel)","Eisai "
"GeneticDisease","Juxtapid (lomitapide)","Aegerion Pharmaceuticals "
"GeneticDisease","Kalydeco (ivacaftor)","Vertex Pharmaceuticals "
"GeneticDisease","Oxtellar XR (oxcarbazepine extended release)","Supernus Pharmaceuticals "
"GeneticDisease","Ultresa (pancrelipase) delayed-release capsules","Aptalis Pharma "
"Hematology","Bosulif (bosutinib)","Pfizer "
"Hematology","Elelyso (taliglucerase alfa)","Pfizer "
"Hematology","Iclusig (ponatinib)","Ariad Pharmaceuticals "
"Hematology","Kyprolis (carfilzomib)","Onyx Pharmaceuticals "
"Hematology","Marqibo (vinCRIStine sulfate LIPOSOME injection)","Talon Therapeutics "
"Hematology","Neutroval (tbo-filgrastim)","Teva Pharmaceutical "
"Hematology","Omontys (peginesatide)","Affymax "
"Hematology","Synribo (omacetaxine mepesuccinate)","Teva Pharmaceutical "
"Hepatology(Liver,Pancreatic,GallBladder)","Inlyta (axitinib)","Pfizer "
"Hepatology(Liver,Pancreatic,GallBladder)","Kalydeco (ivacaftor)","Vertex Pharmaceuticals "
"Hepatology(Liver,Pancreatic,GallBladder)","Ultresa (pancrelipase) delayed-release capsules","Aptalis Pharma "
"Hepatology(Liver,Pancreatic,GallBladder)","Viokace (pancrelipase) tablets","Aptalis Pharma "
"Immunology","Flucelvax, Influenza Virus Vaccine","Novartis "
"Immunology","Fulyzaq (crofelemer)","Salix Pharmaceuticals "
"Immunology","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
"Immunology","Qnasl (beclomethasone dipropionate) nasal aerosol","Teva Pharmaceutical "
"Immunology","Rayos (prednisone) delayed-release tablets","Horizon Pharma "
"Immunology","Stribild (elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate)","Gilead "
"Immunology","Tudorza Pressair (aclidinium bromide inhalation powder)","Forest Laboratories "
"InfectionsandInfectiousDiseases","Abthrax (raxibacumab)","GlaxoSmithKline "
"InfectionsandInfectiousDiseases","Afinitor (everolimus)","Novartis "
"InfectionsandInfectiousDiseases","Cystaran (cysteamine hydrochloride)","Sigma Tau Pharmaceuticals "
"InfectionsandInfectiousDiseases","Dymista (azelastine hydrochloride and fluticasone propionate)","Meda Pharmaceuticals Inc "
"InfectionsandInfectiousDiseases","Flucelvax, Influenza Virus Vaccine","Novartis "
"InfectionsandInfectiousDiseases","Fulyzaq (crofelemer)","Salix Pharmaceuticals "
"InfectionsandInfectiousDiseases","Jetrea (ocriplasmin)","Thrombogenics "
"InfectionsandInfectiousDiseases","Linzess (linaclotide)","Forest Labs and Ironwood Pharmaceuticals "
"InfectionsandInfectiousDiseases","Qnasl (beclomethasone dipropionate) nasal aerosol","Teva Pharmaceutical "
"InfectionsandInfectiousDiseases","Sirturo (bedaquiline)","Janssen Therapeutics "
"InfectionsandInfectiousDiseases","Sklice (ivermectin) lotion","Sanofi Pasteur "
"InfectionsandInfectiousDiseases","Stribild (elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate)","Gilead "
"InfectionsandInfectiousDiseases","Tudorza Pressair (aclidinium bromide inhalation powder)","Forest Laboratories "
"Musculoskeletal","Aubagio (teriflunomide)","Sanofi Aventis "
"Musculoskeletal","Elelyso (taliglucerase alfa)","Pfizer "
"Musculoskeletal","Lyrica (pregabalin)","Pfizer "
"Musculoskeletal","Myrbetriq (mirabegron)","Astellas Pharma US, Inc "
"Musculoskeletal","Neupro (Rotigotine Transdermal System)","UCB "
"Musculoskeletal","Rayos (prednisone) delayed-release tablets","Horizon Pharma "
"Musculoskeletal","Stendra (avanafil)","Vivus "
"Musculoskeletal","Votrient (pazopanib)","GlaxoSmithKline "
"Musculoskeletal","Xeljanz (tofacitinib)","Pfizer "
"Nephrology","Afinitor (everolimus)","Novartis "
"Nephrology","Inlyta (axitinib)","Pfizer "
"Nephrology","Myrbetriq (mirabegron)","Astellas Pharma US, Inc "
"Nephrology","Omontys (peginesatide)","Affymax "
"Nephrology","Stendra (avanafil)","Vivus "
"Nephrology","Stivarga (regorafenib)","Bayer HealthCare Pharmaceuticals "
"Nephrology","Voraxaze (glucarpidase)","BTG International "
"Neurology","Eliquis (apixaban)","Bristol-Myers Squibb "
"Neurology","Fycompa (perampanel)","Eisai "
"Neurology","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
"Neurology","Lyrica (pregabalin)","Pfizer "
"Neurology","Neupro (Rotigotine Transdermal System)","UCB "
"Neurology","Oxtellar XR (oxcarbazepine extended release)","Supernus Pharmaceuticals "
"Neurology","Quillivant XR (methylphenidate hydrochloride)","NextWave Pharmaceuticals "
"Neurology","Subsys (fentanyl sublingual spray)","Insys Therapeutics "
"NutritionandWeightLoss","Belviq (lorcaserin hydrochloride)","Arena Pharmaceuticals "
"NutritionandWeightLoss","Bydureon (exenatide extended-release for injectable suspension)","Amylin "
"NutritionandWeightLoss","Qsymia (phentermine + topiramate extended-release)","Vivus "
"Obstetrics/Gynecology(Women’sHealth)","Afinitor (everolimus)","Novartis "
"Obstetrics/Gynecology(Women’sHealth)","Natazia (estradiol valerate and estradiol valerate/dienogest)","Bayer "
"Obstetrics/Gynecology(Women’sHealth)","Perjeta (pertuzumab)","Genentech "
"Oncology","Abraxane (paclitaxel protein-bound particles for injectable suspension)","Celgene "
"Oncology","Afinitor (everolimus)","Novartis "
"Oncology","Afinitor (everolimus)","Novartis "
"Oncology","Bosulif (bosutinib)","Pfizer "
"Oncology","Cometriq (cabozantinib)","Exelixis "
"Oncology","Erivedge (vismodegib)","Genentech "
"Oncology","Iclusig (ponatinib)","Ariad Pharmaceuticals "
"Oncology","Inlyta (axitinib)","Pfizer "
"Oncology","Kyprolis (carfilzomib)","Onyx Pharmaceuticals "
"Oncology","Marqibo (vinCRIStine sulfate LIPOSOME injection)","Talon Therapeutics "
"Oncology","Neutroval (tbo-filgrastim)","Teva Pharmaceutical "
"Oncology","Perjeta (pertuzumab)","Genentech "
"Oncology","Picato (ingenol mebutate) gel","LEO Pharma "
"Oncology","Stivarga (regorafenib)","Bayer HealthCare Pharmaceuticals "
"Oncology","Subsys (fentanyl sublingual spray)","Insys Therapeutics "
"Oncology","Synribo (omacetaxine mepesuccinate)","Teva Pharmaceutical "
"Oncology","Votrient (pazopanib)","GlaxoSmithKline "
"Oncology","Xtandi (enzalutamide)","Medivation "
"Oncology","Zaltrap (ziv-aflibercept)","Sanofi-aventis "
"Ophthalmology","Cystaran (cysteamine hydrochloride)","Sigma Tau Pharmaceuticals "
"Ophthalmology","Jetrea (ocriplasmin)","Thrombogenics "
"Ophthalmology","Lucentis (ranibizumab injection)","Genentech "
"Ophthalmology","Zioptan (tafluprost ophthalmic solution)","Merck "
"Orthopedics/OrthopedicSurgery","Rayos (prednisone) delayed-release tablets","Horizon Pharma "
"Otolaryngology(Ear,Nose,Throat)","Dymista (azelastine hydrochloride and fluticasone propionate)","Meda Pharmaceuticals Inc "
"Otolaryngology(Ear,Nose,Throat)","Qnasl (beclomethasone dipropionate) nasal aerosol","Teva Pharmaceutical "
"Pediatrics/Neonatology","Fycompa (perampanel)","Eisai "
"Pediatrics/Neonatology","Oxtellar XR (oxcarbazepine extended release)","Supernus Pharmaceuticals "
"Pediatrics/Neonatology","Qnasl (beclomethasone dipropionate) nasal aerosol","Teva Pharmaceutical "
"Pediatrics/Neonatology","Quillivant XR (methylphenidate hydrochloride)","NextWave Pharmaceuticals "
"Pediatrics/Neonatology","Sklice (ivermectin) lotion","Sanofi Pasteur "
"Pediatrics/Neonatology","Surfaxin (lucinactant)","Discovery Laboratories "
"Pharmacology/Toxicology","Voraxaze (glucarpidase)","BTG International "
"Psychiatry/Psychology","Qsymia (phentermine + topiramate extended-release)","Vivus "
"Psychiatry/Psychology","Quillivant XR (methylphenidate hydrochloride)","NextWave Pharmaceuticals "
"Pulmonary/RespiratoryDiseases","Abraxane (paclitaxel protein-bound particles for injectable suspension)","Celgene "
"Pulmonary/RespiratoryDiseases","Dymista (azelastine hydrochloride and fluticasone propionate)","Meda Pharmaceuticals Inc "
"Pulmonary/RespiratoryDiseases","Kalydeco (ivacaftor)","Vertex Pharmaceuticals "
"Pulmonary/RespiratoryDiseases","Qnasl (beclomethasone dipropionate) nasal aerosol","Teva Pharmaceutical "
"Pulmonary/RespiratoryDiseases","Rayos (prednisone) delayed-release tablets","Horizon Pharma "
"Pulmonary/RespiratoryDiseases","Sirturo (bedaquiline)","Janssen Therapeutics "
"Pulmonary/RespiratoryDiseases","Surfaxin (lucinactant)","Discovery Laboratories "
"Pulmonary/RespiratoryDiseases","Tudorza Pressair (aclidinium bromide inhalation powder)","Forest Laboratories "
"Rheumatology","Rayos (prednisone) delayed-release tablets","Horizon Pharma "
"Rheumatology","Stendra (avanafil)","Vivus "
"Rheumatology","Xeljanz (tofacitinib)","Pfizer "
"Trauma(Emergency,Injury,Surgery)","Lyrica (pregabalin)","Pfizer "
"Urology","Bio-T-Gel (testosterone gel)","Teva Pharmaceutical "
"Urology","Myrbetriq (mirabegron)","Astellas Pharma US, Inc "
"Urology","Stendra (avanafil)","Vivus "
"Urology","Xtandi (enzalutamide)","Medivation "
"Vaccines","Flucelvax, Influenza Virus Vaccine","Novartis "
"Vaccines","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
